"id","name","approve_year","approve_no","approve_region","suitable_region","culti_type","sub_type","maturity","control_variety","growth_days","compare_days","rice_code"
8444,甬优1538,2015,赣审稻2015009,江西,江西省稻瘟病轻发区,7,10,16,Y两优1号,127.30,-0.30,ZLDZ-61-中稻
8445,C两优华占,2015,赣审稻2015008,江西,江西省稻瘟病轻发区,7,9,13,Y两优1号,123.00,-4.50,ZLDZ-61-中稻
8446,和两优625,2015,赣审稻2015007,江西,江西省稻瘟病轻发区,7,9,16,Y两优1号,125.20,-2.60,ZLDZ-61-中稻
8447,徽两优114,2015,赣审稻2015006,江西,江西省稻瘟病轻发区,7,9,16,Y两优1号,130.90,3.60,ZLDZ-61-中稻
8448,C两优260,2015,赣审稻2015005,江西,江西省稻瘟病轻发区,7,9,13,Y两优1号,124.50,-3.00,ZLDZ-61-中稻
8449,C两优248,2015,赣审稻2015004,江西,江西省稻瘟病轻发区,7,9,16,Y两优1号,125.20,-2.20,ZLDZ-61-中稻
8450,隆两优华占,2015,赣审稻2015003,江西,江西省稻瘟病轻发区,7,9,16,Y两优1号,127.70,0.40,ZLDZ-61-中稻
8451,徽两优航1573,2015,赣审稻2015002,江西,江西省稻瘟病轻发区,7,9,16,Y两优1号,125.80,-1.60,ZLDZ-61-中稻
8452,徽两优9810,2015,赣审稻2015001,江西,江西省稻瘟病轻发区,7,9,13,Y两优1号,123.60,-3.80,ZLDZ-61-中稻
8453,甬优9号,2015,赣引稻2015003,江西,江西省稻瘟病轻发区,7,10,16,Y两优1号,139.10,3.40,ZLDZ-61-中稻
8454,新丰占,2015,赣引稻2015002,江西,南昌市、上饶市、抚州市、宜春市、新余市、鹰潭市、九江市、萍乡市、景德镇市稻曲病、白叶枯病和稻瘟病轻发区,7,9,13,天优998,117.00,-1.00,ZLDZ-61-中稻
8455,春优84,2015,赣引稻2015001,江西,江西省稻瘟病轻发区,7,9,16,Y两优1号,141.20,5.50,ZLDZ-61-中稻
8456,五优航666,2014,赣审稻2014025,江西,江西省稻瘟病轻发区,7,9,12,天优998,121.90,-1.60,ZLDZ-61-中稻
8457,深优516,2014,赣审稻2014024,江西,江西省稻瘟病轻发区,7,9,12,天优998,123.40,-0.10,ZLDZ-61-中稻
8458,益优华占,2014,赣审稻2014023,江西,江西省稻瘟病轻发区,7,9,12,天优998,124.10,0.70,ZLDZ-61-中稻
8459,炳优华占,2014,赣审稻2014022,江西,江西省稻瘟病轻发区,7,9,13,天优998,122.20,-1.60,ZLDZ-61-中稻
8460,天优827,2014,赣审稻2014021,江西,江西省稻瘟病轻发区,4,9,16,天优998,125.40,1.60,ZLDZ-11-双季晚稻
8461,五优航1573,2014,赣审稻2014020,江西,江西省稻瘟病轻发区,7,9,12,天优998,123.10,-0.80,ZLDZ-61-中稻
8462,两优黄占,2014,赣审稻2014019,江西,江西省稻瘟病轻发区,7,9,12,岳优9113,117.80,0.80,ZLDZ-61-中稻
8463,吉优3号,2014,赣审稻2014018,江西,江西省稻瘟病轻发区,7,9,12,岳优9113,118.20,1.00,ZLDZ-61-中稻
8464,五优268,2014,赣审稻2014017,江西,江西省稻瘟病轻发区,7,9,12,岳优9113,116.90,0.10,ZLDZ-61-中稻
8465,中百优华占,2014,赣审稻2014016,江西,江西省稻瘟病轻发区,7,9,12,岳优9113,118.40,1.50,ZLDZ-61-中稻
8466,早丰优华占,2014,赣审稻2014015,江西,江西省稻瘟病轻发区,7,9,12,岳优9113,115.80,-1.30,ZLDZ-61-中稻
8467,吉优225,2014,赣审稻2014014,江西,江西省稻瘟病轻发区,7,9,12,岳优9113,116.80,-0.30,ZLDZ-61-中稻
8468,永优9380,2014,赣审稻2014012,江西,江西省稻瘟病轻发区,7,9,12,金优207,107.90,-4.20,ZLDZ-61-中稻
8469,湘优100,2014,赣审稻2014011,江西,江西省稻瘟病轻发区,7,9,12,金优207,106.40,-5.70,ZLDZ-61-中稻
8470,农香优676,2014,赣审稻2014010,江西,江西省稻瘟病轻发区,7,9,12,Y两优1号,128.10,0.40,ZLDZ-61-中稻
8471,Y两优202,2014,赣审稻2014009,江西,江西省稻瘟病轻发区,7,9,12,Y两优1号,127.00,-0.70,ZLDZ-61-中稻
8472,广两优1128,2014,赣审稻2014008,江西,江西省稻瘟病轻发区,7,9,12,Y两优1号,127.00,-0.80,ZLDZ-61-中稻
8473,C两优168,2014,赣审稻2014007,江西,江西省稻瘟病轻发区,7,9,12,Y两优1号,122.80,-5.10,ZLDZ-61-中稻
8474,"69优02",2014,赣审稻2014006,江西,江西省稻瘟病轻发区,7,9,12,荣优463,112.10,-0.20,ZLDZ-61-中稻
8475,五丰优286,2014,赣审稻2014005,江西,江西省稻瘟病轻发区,7,9,12,荣优463,111.20,-1.00,ZLDZ-61-中稻
8476,五优463,2014,赣审稻2014004,江西,江西省稻瘟病轻发区,7,9,12,荣优463,112.60,0.40,ZLDZ-61-中稻
8477,陆两优35,2014,赣审稻2014003,江西,江西省稻瘟病轻发区,7,9,12,中早35,109.20,-0.10,ZLDZ-61-中稻
8478,五优9833,2014,赣审稻2014002,江西,江西省稻瘟病轻发区,7,9,12,中早35,110.30,0.90,ZLDZ-61-中稻
8479,陵两优915,2014,赣审稻2014001,江西,江西省稻瘟病轻发区,7,9,12,中早35,109.00,-0.40,ZLDZ-61-中稻
8480,威优822,2014,赣审稻2014035,江西,江西省稻瘟病轻发区,7,9,13,荣优463,113.50,-2.60,ZLDZ-61-中稻
8481,陵两优193,2014,赣审稻2014034,江西,江西省稻瘟病轻发区,7,9,13,荣优463,111.00,-2.90,ZLDZ-61-中稻
8482,荣优585,2014,赣审稻2014033,江西,江西省稻瘟病轻发区,7,9,13,荣优463,114.20,0.20,ZLDZ-61-中稻
8483,五优566,2014,赣审稻2014032,江西,江西省稻瘟病轻发区,7,9,13,荣优463,112.60,0.40,ZLDZ-61-中稻
8484,邦两优9103,2014,赣审稻2014031,江西,江西省稻瘟病轻发区,7,9,12,中早35,109.60,-0.70,ZLDZ-61-中稻
8485,株两优101,2014,赣审稻2014030,江西,江西省稻瘟病轻发区,7,9,12,中早35,109.30,0.00,ZLDZ-61-中稻
