"id","province","city","county","data_year","detail","created_at","updated_at"
23,湖南省,怀化市,沅陵县,"2026","{""1"": [""0425"", ""0510""], ""2"": [""0610"", ""0620""], ""3"": [""0712"", ""0719""], ""4"": [""0815"", ""0822""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
24,湖南省,娄底市,涟源市,"2026","{""1"": [""0512"", ""0518""], ""2"": [""0610"", ""0615""], ""3"": [""0715"", ""0720""], ""4"": [""0811"", ""0817""], ""5"": [""0908"", ""0915""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
25,湖南省,永州市,东安县,"2026","{""1"": [""0511"", ""0520""], ""2"": [""0801"", ""0810""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
26,湖南省,邵阳市,邵阳县,"2026","{""1"": [""0515"", ""0524""], ""2"": [""0614"", ""0618""], ""3"": [""0712"", ""0718""], ""4"": [""0804"", ""0810""], ""5"": [""0823"", ""0829""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
27,湖南省,娄底市,双峰县,"2026","{""1"": [""0513"", ""0518""], ""2"": [""0613"", ""0616""], ""3"": [""0712"", ""0716""], ""4"": [""0808"", ""0812""], ""5"": [""0906"", ""0910""], ""6"": [""0925"", ""0930""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
28,湖南省,常德市,桃源县,"2026","{""1"": [""0512"", ""0515""], ""2"": [""0604"", ""0610""], ""3"": [""0703"", ""0709""], ""4"": [""0809"", ""0813""], ""5"": [""0821"", ""0825""], ""6"": [""0921"", ""0930""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
29,湖南省,衡阳市,祁东县,"2026","{""1"": [""0512"", ""0518""], ""2"": [""0612"", ""0618""], ""3"": [""0705"", ""0710""], ""4"": [""0806"", ""0811""], ""5"": [""0908"", ""0914""], ""6"": [""0917"", ""0922""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
30,湖南省,衡阳市,衡山县,"2026","{""1"": [""0510"", ""0515""], ""2"": [""0607"", ""0612""], ""3"": [""0708"", ""0712""], ""4"": [""0804"", ""0809""], ""5"": [""0824"", ""0829""], ""6"": [""0901"", ""0908""], ""7"": [""0918"", ""0923""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
31,湖南省,永州市,冷水滩区,"2026","{""1"": [""0507"", ""0512""], ""2"": [""0609"", ""0614""], ""3"": [""0705"", ""0712""], ""4"": [""0810"", ""0815""], ""5"": [""0910"", ""0915""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
32,湖南省,岳阳市,岳阳县,"2026","{""1"": [""0508"", ""0512""], ""2"": [""0613"", ""0618""], ""3"": [""0712"", ""0716""], ""4"": [""0731"", ""0802""], ""5"": [""0822"", ""0825""], ""6"": [""0906"", ""0911""]}","2026-04-27 01:26:23","2026-04-27 01:26:23"
